AGE,INCOME,GENDER,MARITAL,NUMKIDS,RISK
31,59193,Female,married,1,good risk
45,58381,Male,married,1,good risk
43,57388,Female,married,0,bad loss
41,56470,Male,married,0,bad loss
46,55554,Female,married,0,good risk
32,54792,Male,married,1,good risk
44,53983,Female,married,1,bad profit
44,53550,Male,married,1,bad loss
32,52973,Male,married,1,bad profit
39,52495,Female,married,1,good risk
44,51498,Male,married,0,bad loss
33,50631,Female,married,0,good risk
38,50076,Male,married,1,bad profit
35,49600,Male,married,1,good risk
34,49007,Male,married,1,bad profit
37,48061,Female,married,1,good risk
39,47161,Male,married,1,good risk
38,46823,Male,married,0,good risk
36,45949,Female,married,1,bad profit
30,45715,Male,married,0,good risk
42,45584,Female,married,1,good risk
43,45390,Female,married,0,good risk
35,45238,Female,married,0,good risk
38,45103,Female,married,0,good risk
37,44936,Female,married,1,bad profit
30,44756,Female,married,1,good risk
42,44597,Female,married,1,bad loss
37,44413,Male,married,0,good risk
45,44294,Male,married,1,good risk
35,44194,Male,married,0,good risk
36,44048,Male,married,1,good risk
31,43972,Female,married,0,bad profit
37,43835,Male,married,0,bad profit
36,43750,Male,married,1,good risk
33,43645,Male,married,0,good risk
37,43408,Female,married,0,bad loss
44,43185,Female,married,1,good risk
41,42996,Male,married,1,good risk
30,42899,Male,married,1,bad loss
38,42772,Female,married,0,good risk
39,42574,Female,married,0,good risk
32,42438,Male,married,0,good risk
33,42313,Male,married,1,good risk
41,42182,Male,married,1,good risk
43,42106,Female,married,0,good risk
30,41935,Male,married,0,good risk
36,41834,Male,married,0,good risk
35,41735,Female,married,0,good risk
34,41629,Male,married,1,good risk
33,41483,Female,married,1,good risk
35,41248,Male,married,1,bad loss
38,41158,Female,married,1,bad profit
35,40992,Male,married,1,good risk
33,40940,Male,married,1,good risk
40,40855,Female,married,0,good risk
32,40636,Female,married,1,good risk
32,40526,Male,married,1,good risk
44,40425,Male,married,0,bad loss
41,40246,Male,married,0,bad loss
39,40057,Male,married,0,bad loss
29,39476,Female,single,0,good risk
33,39162,Female,single,0,bad profit
